Star Rating,Rating Text,Date Added,Review Title
5.0 out of 5 stars,"
  Excelente producto justo lo que estaba buscando.","Reviewed in the United States on May 29, 2020",Favorite pencils
5.0 out of 5 stars,"Bellos colores, buena calidad de las minas, fácil de sostener, te proporciona mucha fluidez al escribir, escribe excelente!
","Reviewed in the United States on July 30, 2020",Good mechanical pencil
4.8 out of 5 stars,"
  I bought these for my kids.  They couldnt have better for them in school unless they had tracking devices in them.  They got lost before we needed more lead.  Kids🤦‍♀️
","Reviewed in the United States on December 6, 2019",Bought for kids.
5.0 out of 5 stars,"
  I buy these for my older children.  This is their favorite type of mechanical pencil for school.  They like the wider grip and the lead thickness.  Plus, they come in fun colors, too.
","Reviewed in the United States on June 2, 2017",Favorite pencils
2.0 out of 5 stars,"
  I loved these pencils! I got these for my 12 year old daughter since there’s quarantine everything is left in school in her locker.They are pencils I never had before and having these will save ur life.its easy to write with and for a 6th Fraser like my daughter it would be perfect at this time and for all time.U can get ur work done in minutes with these velocity pencils.MUST BUY!!!!!!!! They’re awesome.price is amazing
","Reviewed in the United States on December 22, 2019",Must buy!!!!!
4.0 out of 5 stars,"
  Bought these for grandkids and they love them.  They like that they can replace the lead and erasers instead of throwing the pencil away.
","Reviewed in the United States on September 25, 2019",Very nice pencils
5.0 out of 5 stars,"
  As expected. Received the same pencil set I would have received if I bought it in the store.
","Reviewed in the United States on April 25, 2020",Good quality for the money
5.0 out of 5 stars,"
  I actually only bought this to complete minimum $25 order so I wouldn't have to pay shipping. Who knows one day I might use them
","Reviewed in the United States on March 9, 2020",Good for completing a $25 minimum order
5.0 out of 5 stars,"
  Came just when I needed them for back to school. I also love that they came with extra lead and erasers. It really helped when I needed it.
","Reviewed in the United States on July 27, 2020","Works well, get this if you're in a crunch!"
5.0 out of 5 stars,"
  Súper ❤️ Me gustaron mucho, son lindos, escriben bien y tienen repuestos de minas y borradores.","Reviewed in the United States on February 11, 2020",Excelente
5.0 out of 5 stars,"Muchas gracias
","Reviewed in the United States on October 31, 2019",Good product
5.0 out of 5 stars,"
  Very comfortable. Works like other mechanical pencils. Nice colors.
","Reviewed in the United States on January 8, 2020",My wife is very happy with these. Enough said.
4.8 out of 5 stars,"
  Cute and easy to use. My son loves them, they are bright and fun looking.
","Reviewed in the United States on December 6, 2019",Cute & durable
5.0 out of 5 stars,"
  Great product easy-to-hold works beautifully every time
","Reviewed in the United States on June 2, 2017",Good investment value plus convenience
2.0 out of 5 stars,"
  My favorite mechanical pencils...by far.","Reviewed in the United States on April 14, 2020",Great Value—Comfy to Hold
5.0 out of 5 stars,"Great colors and comfy in the hand. The price is right. I recommend.
","Reviewed in the United States on July 30, 2020",Great pencils for all ages of students!
5.0 out of 5 stars,"
  My nephew absolutely lives mechanical pencils but never really raved about any in particular. But this one he couldn't get enough of. He lover the way they write and are easy to hold. I would definitely recommend them for any student!
","Reviewed in the United States on October 27, 2019",Good buy
5.0 out of 5 stars,"
  Bought these for work. Best pencils ever! Extra leads and erasers made them last.
","Reviewed in the United States on September 17, 2016",Great Pencils
5.0 out of 5 stars,"
  I bought these for my son in college.  He loves these pencils
","Reviewed in the United States on March 3, 2020",Good for “hard writers” that push down when they write
5.0 out of 5 stars,"
  Very impressed! I’m always skeptical with mechanical pencils because I write very hard and they usually break very easily. These are pretty sturdy and I like that I can press down hard and they won’t snap right in half. And if they do break- they come with extra lead and extra erasers which is a plus.
","Reviewed in the United States on May 8, 2020",Love these pencils!
5.0 out of 5 stars,"
  Keep them in every room.  Good solid writing and a comfy grip.  At a good price!
","Reviewed in the United States on April 21, 2020",Strong mechanical pencil
5.0 out of 5 stars,"
  These hold up well and have a nice a feel.
","Reviewed in the United States on December 5, 2019",Perfect
